Reaction,Subsystem
THYPX,"Tyrosine metabolism"
TKT1,"Pentose phosphate pathway"
TKT2,"Pentose phosphate pathway"
TRIODTHYSUFt,"Transport, Extracellular"
TRIODTHYt,"Transport, Extracellular"
TSCTS,"Oxidative phosphorylation"
TSULt4_3,"Transport, Extracellular"
TTCTECOAtr,"Transport, Endoplasmic reticular"
TYR3MO2,"Tyrosine metabolism"
TYRDOPO,"Tyrosine metabolism"
TYROX,"Tyrosine metabolism"
TYRTA,"Tyrosine metabolism"
TYRt4,"Transport, Extracellular"
UACGAMUMPtr,"Transport, Endoplasmic reticular"
UAG2EMAi,"Aminosugar metabolism"
UAG4E,"Aminosugar metabolism"
UAGDP,"Aminosugar metabolism"
UDPACGALtl,"Transport, Lysosomal"
UDPDOLPT,"N-glycan synthesis"
UDPG4E,"Galactose metabolism"
UDPGALtg,"Transport, Golgi Apparatus"
UDPGCURtr,"Transport, Endoplasmic reticular"
UDPGD,"Starch and sucrose metabolism"
UDPGLCAter,"Transport, Endoplasmic reticular"
UDPGLCAtg,"Unknown"
UDPGLDCg,"Unknown"
UDPtl,"Transport, Lysosomal"
UGALNACter,"Unknown"
UGALNACtg,"Transport, Golgi Apparatus"
UGCGc,"Sphingolipid metabolism"
UGLCNACtg,"Transport, Golgi Apparatus"
UGT1A10r,"Steroid metabolism"
UMPK,"Nucleotide interconversions"
UMPK5,"Nucleotide interconversions"
UMPtr,"Transport, Endoplasmic reticular"
UNK3,"Arginine and proline metabolism"
UPP3S,"Heme synthesis"
UPPDC1,"Heme synthesis"
URATEt,"Transport, Extracellular"
URATEti,"Transport, Extracellular"
UREAt,"Transport, Extracellular"
URIK2,"Nucleotide salvage pathway"
URIK4,"Nucleotide salvage pathway"
URIt,"Transport, Extracellular"
URIt4,"Transport, Extracellular"
UROLACer,"Vitamin C metabolism"
URPT,"Nucleotide salvage pathway"
Uritn,"Transport, Nuclear"
VALTAm,"Valine, leucine and isoleucine metabolism"
VALVALr,"Peptide metabolism"
VALVALt,"Transport, Extracellular"
VALt4,"Transport, Extracellular"
VALt5m,"Transport, Mitochondrial"
XAO,"Nucleotide salvage pathway"
ZN2te,"Transport, Extracellular"
ZNte,"Transport, Extracellular"
Zn2t,"Transport, Extracellular"
q10h2tc,"Transport, Mitochondrial"
q10tm,"Transport, Mitochondrial"
